"Affect1","Affect2","Affect3","approach","valence_raw","valence_category","spotify_seed","spotify_prompt","weather","feeling"
"Anger","Disgust","Joy","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and let the warmth soften the edges so you can stay present without forcing anything.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring warm, uplifting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with harsh particulate air, producing variable patterns. A a quiet bright layer above is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and allow things to warm gradually"
"Anger","Disgust","Withdrawing","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.","-0.8400000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring distant, spacious feeling. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a coarse turning gust, producing variable patterns. A an open still band on the horizon is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and maintain extra space"
"Anger","Disgust","Sadness","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and treat the heaviness as a signal to slow down and stay close to what really matters here.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring slow, melancholic mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with irregular abrasive currents, producing variable patterns. A a soft descending mist layer is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and keep demands low"
"Anger","Disgust","Surprise","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.","-0.8","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel harsh, rejecting tone, and coloring sudden, shifting feel. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a coarse turning gust, producing variable patterns. A a brief flicker in the upper air is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while removing unfit options, and stay ready for shifts"
"Anger","Dropping","Curiosity","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and let the interest gently invite you to stay curious without rushing your next move.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring curious, exploratory energy. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with sinking trailing clouds, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and allow room for new information"
"Anger","Dropping","Disgust","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and use the the inner no to sort what belongs close and what needs more distance.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring harsh, rejecting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with low drifting haze, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and keep standards selective"
"Anger","Dropping","Fear","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by tight caution. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and honor the caution by moving in small steps and checking what feels safe as you go.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring tense, cautious mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with sinking trailing clouds, producing variable patterns. A a narrow watchful band at higher levels is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and avoid unnecessary risks"
"Anger","Dropping","Joy","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and let the warmth soften the edges so you can stay present without forcing anything.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring warm, uplifting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a fading underside layer, producing variable patterns. A a quiet bright layer above is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and allow things to warm gradually"
"Anger","Dropping","Withdrawing","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.","-0.8400000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring distant, spacious feeling. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a fading underside layer, producing variable patterns. A a broad quiet layer at the margins is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and maintain extra space"
"Anger","Dropping","Sadness","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and treat the heaviness as a signal to slow down and stay close to what really matters here.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring slow, melancholic mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a fading underside layer, producing variable patterns. A a tender gray overcast above is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and keep demands low"
"Anger","Dropping","Surprise","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.","-0.8","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel fragile, sinking tone, and coloring sudden, shifting feel. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with sinking trailing clouds, producing variable patterns. A a patchy scattering pattern aloft is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while making minimal commitments, and stay ready for shifts"
"Anger","Fear","Curiosity","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the interest gently invite you to stay curious without rushing your next move.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring curious, exploratory energy. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a cautious, constricting flow, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and allow room for new information"
"Anger","Fear","Disgust","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and use the the inner no to sort what belongs close and what needs more distance.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring harsh, rejecting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a cautious, constricting flow, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and keep standards selective"
"Anger","Fear","Dropping","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring fragile, sinking tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with tightening cool layers, producing variable patterns. A a settling hush near the ground is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and delay irreversible decisions"
"Anger","Fear","Joy","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the warmth soften the edges so you can stay present without forcing anything.","-0.6000000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring warm, uplifting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with tightening cool layers, producing variable patterns. A a soft warming undercurrent is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and allow things to warm gradually"
"Anger","Fear","Withdrawing","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.","-0.8400000000000000","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring distant, spacious feeling. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with tightening cool layers, producing variable patterns. A a broad quiet layer at the margins is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and maintain extra space"
"Anger","Fear","Sadness","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and treat the heaviness as a signal to slow down and stay close to what really matters here.","-1.0","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring slow, melancholic mood. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a narrow cautious band, producing variable patterns. A a tender gray overcast above is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and keep demands low"
"Anger","Fear","Surprise","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.","-0.8","Strongly Negative","seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel tense, cautious mood, and coloring sudden, shifting feel. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72. Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a cautious, constricting flow, producing variable patterns. A a brief flicker in the upper air is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while checking conditions, and stay ready for shifts"
"Anger","Joy","Curiosity","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and let the interest gently invite you to stay curious without rushing your next move.","0.0","Mixed / Neutral","seed_genres=metal,hardcore&target_valence=0.50&target_energy=0.80","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel warm, uplifting tone, and coloring curious, exploratory energy. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.50&target_energy=0.80. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with gentle lifting pockets, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while staying open to connection, and allow room for new information"
"Anger","Joy","Disgust","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and use the the inner no to sort what belongs close and what needs more distance.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel warm, uplifting tone, and coloring harsh, rejecting tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a mild brightening trend, producing variable patterns. A a thin acidic drift at altitude is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while staying open to connection, and keep standards selective"
"Anger","Joy","Dropping","{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.","-0.4","Gently Negative","seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Recommendations API, find one track that feels related to {subject} and matches this emotional profile: primary feel intense, boundary-protective energy, secondary feel warm, uplifting tone, and coloring fragile, sinking tone. Use these parameters when possible: seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76. Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with soft warming air, producing variable patterns. A a settling hush near the ground is expected to persist through the period, shaping the overall outlook for this area.","set clear limits, while staying open to connection, and delay irreversible decisions"
