Affect1,Affect2,Affect3,subject,pronoun,approach,valence_raw,valence_category,spotify_seed,spotify_prompt,weather,feeling,Feeling 2
Anger,Disgust,Joy,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and let the warmth soften the edges so you can stay present without forcing anything.",-0.6000000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Search API, find one track that evokes the feeling of ""Open Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with harsh particulate air, producing variable patterns. A a quiet bright layer above is expected to persist through the period, shaping the overall outlook for this area.",Fire | Rejecting | Open,The Raw Unprotected Spark
Anger,Disgust,Withdrawing,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.",-0.8400000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""Objective Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a coarse turning gust, producing variable patterns. A an open still band on the horizon is expected to persist through the period, shaping the overall outlook for this area.",Fire | Rejecting | Objective,The Cool Removed Heat
Anger,Disgust,Sadness,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and treat the heaviness as a signal to slow down and stay close to what really matters here.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Tender Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with irregular abrasive currents, producing variable patterns. A a soft descending mist layer is expected to persist through the period, shaping the overall outlook for this area.",Fire | Rejecting | Tender,The Bruised Fragile Fire
Anger,Disgust,Surprise,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with an inner no and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the inner no, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.",-0.8,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""New Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a coarse turning gust, producing variable patterns. A a brief flicker in the upper air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Rejecting | New,The Sudden Startling Flame
Anger,Dropping,Curiosity,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and let the interest gently invite you to stay curious without rushing your next move.",-0.6000000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Search API, find one track that evokes the feeling of ""Flexible Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with sinking trailing clouds, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Flexible,The Unsteady Slippery Blaze
Anger,Dropping,Disgust,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and use the the inner no to sort what belongs close and what needs more distance.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Decisive Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with low drifting haze, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Decisive,The Cutting Sharp Ember
Anger,Dropping,Fear,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by tight caution. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and honor the caution by moving in small steps and checking what feels safe as you go.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Cautious Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with sinking trailing clouds, producing variable patterns. A a narrow watchful band at higher levels is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Cautious,The Watchful Wary Spark
Anger,Dropping,Joy,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and let the warmth soften the edges so you can stay present without forcing anything.",-0.6000000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Search API, find one track that evokes the feeling of ""Open Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a fading underside layer, producing variable patterns. A a quiet bright layer above is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Open,The Thin Vulnerable Heat
Anger,Dropping,Withdrawing,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.",-0.8400000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""Objective Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a fading underside layer, producing variable patterns. A a broad quiet layer at the margins is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Objective,The Flat Blank Fire
Anger,Dropping,Sadness,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and treat the heaviness as a signal to slow down and stay close to what really matters here.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Tender Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a fading underside layer, producing variable patterns. A a tender gray overcast above is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | Tender,The Exposed Frayed Flame
Anger,Dropping,Surprise,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a small collapse inside and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the collapse, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.",-0.8,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""New Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with sinking trailing clouds, producing variable patterns. A a patchy scattering pattern aloft is expected to persist through the period, shaping the overall outlook for this area.",Fire | Yielding | New,The Sharp Harsh Blaze
Anger,Fear,Curiosity,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the interest gently invite you to stay curious without rushing your next move.",-0.6000000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Search API, find one track that evokes the feeling of ""Flexible Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a cautious, constricting flow, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Flexible,The Shifting Tense Ember
Anger,Fear,Disgust,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and use the the inner no to sort what belongs close and what needs more distance.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Decisive Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a cautious, constricting flow, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Decisive,The Final Relentless Spark
Anger,Fear,Dropping,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Quiet Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with tightening cool layers, producing variable patterns. A a settling hush near the ground is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Quiet,The Hushed Sinking Heat
Anger,Fear,Joy,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by warm lift. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and let the warmth soften the edges so you can stay present without forcing anything.",-0.6000000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.20&target_energy=0.74","Using the Spotify Search API, find one track that evokes the feeling of ""Open Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with tightening cool layers, producing variable patterns. A a soft warming undercurrent is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Open,The Bare Raw Fire
Anger,Fear,Withdrawing,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.",-0.8400000000000000,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.08&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""Objective Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with tightening cool layers, producing variable patterns. A a broad quiet layer at the margins is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Objective,The Cold Distant Flame
Anger,Fear,Sadness,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and treat the heaviness as a signal to slow down and stay close to what really matters here.",-1.0,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.00&target_energy=0.70","Using the Spotify Search API, find one track that evokes the feeling of ""Tender Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a narrow cautious band, producing variable patterns. A a tender gray overcast above is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | Tender,The Sore Bruised Blaze
Anger,Fear,Surprise,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with tight caution and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the caution, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.",-0.8,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.10&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""New Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with a cautious, constricting flow, producing variable patterns. A a brief flicker in the upper air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Protecting | New,The Jarring Abrupt Ember
Anger,Joy,Curiosity,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and let the interest gently invite you to stay curious without rushing your next move.",0.0,Mixed / Neutral,"seed_genres=metal,hardcore&target_valence=0.50&target_energy=0.80","Using the Spotify Search API, find one track that evokes the feeling of ""Flexible Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with gentle lifting pockets, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Flexible,The Flexible Supple Spark
Anger,Joy,Disgust,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and use the the inner no to sort what belongs close and what needs more distance.",-0.4,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Search API, find one track that evokes the feeling of ""Decisive Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with a mild brightening trend, producing variable patterns. A a thin acidic drift at altitude is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Decisive,The Harsh Severe Heat
Anger,Joy,Dropping,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.",-0.4,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Search API, find one track that evokes the feeling of ""Quiet Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with soft warming air, producing variable patterns. A a settling hush near the ground is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Quiet,The Muted Dim Fire
Anger,Joy,Fear,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by tight caution. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and honor the caution by moving in small steps and checking what feels safe as you go.",-0.4,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Search API, find one track that evokes the feeling of ""Cautious Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with soft warming air, producing variable patterns. A a cooling shadow line overhead is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Cautious,The Edgy Nervous Flame
Anger,Joy,Withdrawing,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by a need for space. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and honor the the need for space by giving yourself room to breathe before deciding what you want to do.",-0.24,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.38&target_energy=0.78","Using the Spotify Search API, find one track that evokes the feeling of ""Objective Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with a mild brightening trend, producing variable patterns. A a broad quiet layer at the margins is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Objective,The Cool Removed Blaze
Anger,Joy,Sadness,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by soft heaviness. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and treat the heaviness as a signal to slow down and stay close to what really matters here.",-0.4,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.30&target_energy=0.76","Using the Spotify Search API, find one track that evokes the feeling of ""Tender Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with gentle lifting pockets, producing variable patterns. A a soft descending mist layer is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | Tender,The Raw Fragile Ember
Anger,Joy,Surprise,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with warm lift and toned by a sharp jolt. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the warmth, and use the the jolt as a brief pause to reset, then decide what pace actually feels right.",-0.2,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.40&target_energy=0.78","Using the Spotify Search API, find one track that evokes the feeling of ""New Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a compressed hot band interacting with soft warming air, producing variable patterns. A a brief flicker in the upper air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Bonding | New,The Sudden Startling Spark
Anger,Withdrawing,Curiosity,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a need for space and toned by steady interest. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the need for space, and let the interest gently invite you to stay curious without rushing your next move.",-0.36,Gently Negative,"seed_genres=metal,hardcore&target_valence=0.32&target_energy=0.76","Using the Spotify Search API, find one track that evokes the feeling of ""Flexible Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with receding quiet air, producing variable patterns. A a light exploratory shimmer aloft is expected to persist through the period, shaping the overall outlook for this area.",Fire | Retreating | Flexible,The Unsteady Slippery Heat
Anger,Withdrawing,Disgust,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a need for space and toned by an inner no. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the need for space, and use the the inner no to sort what belongs close and what needs more distance.",-0.76,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.12&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""Decisive Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a heated boundary front interacting with expanding empty pockets, producing variable patterns. A a sharp edge in the higher air is expected to persist through the period, shaping the overall outlook for this area.",Fire | Retreating | Decisive,The Cutting Sharp Fire
Anger,Withdrawing,Dropping,{{subject}},{{pronoun}},"{{subject}} evokes feelings of protective heat at the edges of your tolerance, mingled with a need for space and toned by a small collapse inside. Underneath, your system may be trying to defend what matters or push back where something feels off.

You might begin by simply noticing these responses in your body without arguing with them. From there, give some room to the heat and the the need for space, and let the the collapse remind you to move gently and offer yourself a bit more support around {subject}.",-0.76,Strongly Negative,"seed_genres=metal,hardcore&target_valence=0.12&target_energy=0.72","Using the Spotify Search API, find one track that evokes the feeling of ""Quiet Fire"". Return the single best matching track.","Atmospheric conditions around {subject} show a high-intensity storm line interacting with expanding empty pockets, producing variable patterns. A a low dim undertone in the field is expected to persist through the period, shaping the overall outlook for this area.",Fire | Retreating | Quiet,The Low Smothered Flame
